sled_arg_name,harmonized_name,source,resolved_in_mother
FRENTE PATRIOTICO CHUBUTENSE,ALIANZA FRENTE PATRIÓTICO CHUBUTENSE,batch_lookup,True
FRENTE PATRIOTICO LABORISTA,FRENTE PATRIOTICO LABORISTA,direct_match,
FRENTE PLURAL,FRENTE PLURAL,direct_match,
FRENTE POLITICO Y SOCIAL ELEGI,FRENTE POLÍTICO Y SOCIAL ELEGÍ,batch_lookup,True
FRENTE POLO SOCIAL,FRENTE POLO SOCIAL,direct_match,
FRENTE POPULAR,FRENTE POPULAR,direct_match,
FRENTE POPULAR BONAERENSE,ALIANZA FRENTE POPULAR BONAERENSE,batch_lookup,True
FRENTE POPULAR POR SALTA,ALIANZA FRENTE POPULAR POR SALTA,batch_lookup,True
FRENTE POPULAR SALTEÑO,FRENTE POPULAR SALTEÑO,direct_match,
"FRENTE POPULAR, AGRARIO Y SOCIAL","FRENTE POPULAR, AGRARIO Y SOCIALC",batch_lookup,True
FRENTE POR EL FUTURO,FRENTE POR EL FUTURO,direct_match,
FRENTE POR LA DIGNIDAD,FRENTE POR LA DIGNIDAD,direct_match,
"FRENTE POR LA SALUD, EDUCACION Y TRABAJO SETD","FRENTE POR LA SALUD, EDUCACIÓN Y TRABAJO SETD",batch_lookup,True
FRENTE PRIMERO JUJUY,FRENTE PRIMERO JUJUY,direct_match,
FRENTE PRIMERO JUJUYB,FRENTE PRIMERO JUJUY,batch_lookup,True
FRENTE PROGRESISTA CIVICO Y SOCIAL,FRENTE PROGRESISTA CIVICO Y SOCIAL,direct_match,
FRENTE PROGRESISTA POR LA IGUALDAD Y LA REPUBLICA,ALIANZA FRENTE PROGRESISTA POR LA IGUALDAD Y LA REPÚBLICAC,batch_lookup,True
FRENTE PROGRESISTA Y POPULAR,FRENTE PROGRESISTA Y POPULAR,direct_match,
"FRENTE PROGRESISTA, CIVICO Y SOCIAL","FRENTE PROGRESISTA, CIVICO Y SOCIAL",direct_match,
FRENTE PROVINCIA UNIDA,ALIANZA FRENTE PROVINCIA UNIDA,batch_lookup,True
FRENTE PROYECTO CORRIENTES,FRENTE PROYECTO CORRIENTES,direct_match,
"FRENTE RADICAL DEMOCRATICO, CIVICO Y SOCIAL","ALIANZA FRENTE RADICAL DEMOCRATICO, CIVICO Y SOCIALC",batch_lookup,True
FRENTE RENOVADOR,FRENTE RENOVADOR,direct_match,
FRENTE RENOVADOR 1PAIS,FRENTE RENOVADOR 1PAISC,batch_lookup,True
FRENTE RENOVADOR DE LA CONCORDIA,FRENTE RENOVADOR DE LA CONCORDIA,direct_match,
FRENTE RENOVADOR FEDERAL,FRENTE RENOVADOR FEDERAL,direct_match,
FRENTE RENOVADOR JUSTICIALISTA,FRENTE RENOVADOR JUSTICIALISTA,direct_match,
FRENTE RENOVADOR Y PROGRESISTA,FRENTE RENOVADOR Y PROGRESISTA,direct_match,
FRENTE ROMERO + OLMEDO,FRENTE ROMERO + OLMEDO,direct_match,
FRENTE SAENZ GOBERNADOR,FRENTE SÁENZ GOBERNADOR,batch_lookup,True
FRENTE SALTEÑO,FRENTE SALTEÑO,direct_match,
FRENTE SAN JUAN PRIMERO,FRENTE SAN JUAN PRIMERO,direct_match,
FRENTE SANTA FE PARA TODOS,FRENTE SANTA FE PARA TODOS,direct_match,
FRENTE SOCIAL ENTRE RIOS TIENE FUTURO,ALIANZA FRENTE SOCIAL ENTRE RIOS TIENE FUTURO,batch_lookup,True
FRENTE SOCIAL Y POPULAR,FRENTE SOCIAL Y POPULAR,direct_match,
FRENTE SOCIAL YPRODUCTIVO,ALIANZA FRENTE SOCIAL YPRODUCTIVO,batch_lookup,True
FRENTE SOMOS MENDOZA,FRENTE SOMOS MENDOZA,direct_match,
FRENTE TERCERA POSICION,FRENTE TERCERA POSICION,direct_match,
FRENTE TERCERA POSICION - UNIDAD CATAMARQUEÑA,ALIANZA FRENTE TERCERA POSICION - UNIDAD CATAMARQUEÑA,batch_lookup,True
FRENTE TODOS,FRENTE TODOS,direct_match,
FRENTE UCR - UNEN - PS,FRENTE UCR - UNEN - PS,direct_match,
FRENTE UNE - SOCIALISTA,FRENTE UNE - SOCIALISTA,direct_match,
FRENTE UNIDAD CATAMARQUEÑA,ALIANZA FRENTE UNIDAD CATAMARQUEÑA,batch_lookup,True
FRENTE UNIDAD CIUDADANA,FRENTE UNIDAD CIUDADANA,direct_match,
FRENTE UNIDAD JUSTICIALISTA SAN LUIS,FRENTE UNIDAD JUSTICIALISTA SAN LUIS,direct_match,
FRENTE UNIDAD PROVINCIAL,FRENTE UNIDAD PROVINCIAL,direct_match,
FRENTE UNIDAD Y RENOVACION,FRENTE UNIDAD Y RENOVACIÓN,batch_lookup,True
FRENTE UNIDOS POR CATAMARCA,ALIANZA FRENTE UNIDOS POR CATAMARCA,batch_lookup,True
FRENTE UNIDOS POR CORRIENTES,ALIANZA JUNTOS POR CORRIENTES,batch_lookup,True
FRENTE UNIDOS UNA,FRENTE UNIDOS UNA,direct_match,
FRENTE UNIDOS Y ORGANIZADOS POR LA SOBERANIA POPULAR,ALIANZA FRENTE UNIDOS Y ORGANIZADOS POR LA SOBERANIA POPULAR,batch_lookup,True
FRENTE UNION CHUBUT SOMOS TODOS,ALIANZA FRENTE UNION CHUBUT SOMOS TODOS,batch_lookup,True
FRENTE UNION CIVICA RADICAL,FRENTE UNION CIVICA RADICAL,direct_match,
FRENTE UNION POR TUCUMAN,FRENTE UNION POR TUCUMAN,direct_match,
FRENTE UNION PRO,FRENTE UNIÓN PRO,batch_lookup,True
FRENTE UNION PRO DIGNIDAD,ALIANZA FRENTE UNIÓN PRO DIGNIDAD,batch_lookup,True
FRENTE VAMOS JUNTOS,FRENTE VAMOS JUNTOS,direct_match,
FRENTE VANGUARDIA FEDERAL - DEMOCRATA CRISTIANO,ALIANZA FRENTE VANGUARDIA FEDERAL - DEMOCRATA CRISTIANO,batch_lookup,True
FUERZA CIVICA RIOJANA,FUERZA CÍVICA RIOJANA,batch_lookup,True
FUERZA DE UNIDAD POPULAR,FUERZA DE UNIDAD POPULAR,direct_match,
FUERZA NUEVA,FUERZA NUEVA,direct_match,
FUERZA POPULAR,ALIANZA FUERZA POPULAR,batch_lookup,True
FUERZA PORTEÑA,ALIANZA FUERZA PORTEÑA,batch_lookup,True
FUERZA REPUBLICANA,FUERZA REPUBLICANA,direct_match,
FUERZA REPUBLICANA FEDERAL,ALIANZA FUERZA REPUBLICANA FEDERALB,batch_lookup,True
FUERZA SAN LUIS,FUERZA SAN LUIS,direct_match,
GANA SALTA,GANA SALTA,direct_match,
GENERACION PARA UN ENCUENTRO NACIONAL,GENERACIÓN PARA UN ENCUENTRO NACIONAL,batch_lookup,True
GUSTAVO GOBERNADOR,ALIANZA GUSTAVO GOBERNADOR,batch_lookup,True
HACEMOS POR CORDOBA,HACEMOS POR CÓRDOBA,batch_lookup,True
HACEMOS UNIDOS POR CORDOBA,HACEMOS UNIDOS POR CÓRDOBA,batch_lookup,True
HAY FUTURO LA RIOJA,HAY FUTURO LA RIOJA,direct_match,
"HONESTIDAD, TRABAJO Y EFICIENCIA","ALIANZA HONESTIDAD, TRABAJO Y EFICIENCIA",batch_lookup,True
IDENTIDAD SALTEÑA,PARTIDO IDENTIDAD SALTEÑA,batch_lookup,True
IGUALDAD Y PARTICIPACION,IGUALDAD Y PARTICIPACION,direct_match,
INDEPENDENCIA FEDERAL,INDEPENDENCIA FEDERAL,direct_match,
INTRANSIGENTE,INTRANSIGENTE,direct_match,
IZQUIERDA POR UNA OPCION SOCIALISTA,IZQUIERDA POR UNA OPCIÓN SOCIALISTA,batch_lookup,True
IZQUIERDA UNIDA,IZQUIERDA UNIDA,direct_match,
JUNTOS,JUNTOS,direct_match,
JUNTOS AVANCEMOS,JUNTOS AVANCEMOS,direct_match,
JUNTOS POR CORDOBA,JUNTOS POR CÓRDOBA,batch_lookup,True
JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,direct_match,
JUNTOS POR EL CAMBIO NEUQUEN,JUNTOS POR EL CAMBIO NEUQUÉN,batch_lookup,True
JUNTOS POR ENTRE RIOS,JUNTOS POR ENTRE RÍOS,batch_lookup,True
JUNTOS POR LA GENTE,JUNTOS POR LA GENTE,direct_match,
JUNTOS POR LA RIOJA,JUNTOS POR LA RIOJA,direct_match,
JUNTOS POR SAN JUAN,JUNTOS POR SAN JUAN,direct_match,
JUNTOS SOMOS RIO NEGRO,JUNTOS SOMOS RÍO NEGRO,batch_lookup,True
JUSTICIALISTA,JUSTICIALISTA,direct_match,
JUSTICIALISTA - FRENTE PARA LA VICTORIA SANTACRUCEÑA,JUSTICIALISTA - FRENTE PARA LA VICTORIA SANTACRUCEÑA,direct_match,
JUSTICIALISTA - UNION DE CENTRO DEMOCRATICO,JUSTICIALISTA - UNION DE CENTRO DEMOCRATICO,direct_match,
JUSTICIALISTA ES POSIBLE,ALIANZA PARTIDO JUSTICIALISTA ES POSIBLE,batch_lookup,True
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,direct_match,
LA UNION MENDOCINA,LA UNIÓN MENDOCINA,batch_lookup,True
LABORISTA DE TUCUMAN,LABORISTA DE TUCUMAN,direct_match,
LEALTAD Y DIGNIDAD,LEALTAD Y DIGNIDAD,direct_match,
LEMA JUSTICIALISTA,LEMA JUSTICIALISTA,direct_match,
LEMA RIOJANO PARA EL TRABAJO Y LA PRODUCCIONA,LEMA RIOJANO PARA EL TRABAJO Y LA PRODUCCIONA,direct_match,
LIBERAL,LIBERAL,direct_match,
LIBERTAD TRABAJO Y PROGRESO,LIBERTAD TRABAJO Y PROGRESO,direct_match,
LIBRE EN MOVIMIENTO,LIBRE EN MOVIMIENTO,direct_match,
MARA,ALIANZA MARA,batch_lookup,True
MAS PARA ENTRE RIOS,MÁS PARA ENTRE RÍOS,batch_lookup,True
MAS VOCACION SANLUISEÑ,ALIANZA MAS VOCACIÓN SANLUISEÑA,batch_lookup,True
MEMORIA Y MOVILIZACION SOCIAL,MEMORIA Y MOVILIZACION SOCIAL,direct_match,
MOVILIZACION,MOVILIZACION,direct_match,
MOVIMIENTO ACCION POPULAR,MOVIMIENTO ACCION POPULAR,direct_match,
MOVIMIENTO AFIRMACION POPULAR,MOVIMIENTO ACCION POPULAR,batch_lookup,True
MOVIMIENTO CIVICO Y SOCIAL,MOVIMIENTO CIVICO Y SOCIAL,direct_match,
MOVIMIENTO DE ACCION POPULAR,MOVIMIENTO DE ACCION POPULAR,direct_match,
MOVIMIENTO DE ACCION VECINAL,MOVIMIENTO DE ACCION VECINAL,direct_match,
MOVIMIENTO DE INTEGRACION Y DESARROLLO,MOVIMIENTO DE INTEGRACION Y DESARROLLO,direct_match,
MOVIMIENTO FEDERALISTA PAMPEANO,MOVIMIENTO FEDERALISTA PAMPEANO,direct_match,
MOVIMIENTO GENERACIONAL PORTEÑO,MOVIMIENTO GENERACIONAL PORTEÑO,direct_match,
MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD,MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD,direct_match,
MOVIMIENTO LIBRES DEL SUR,MOVIMIENTO LIBRES DEL SUR,direct_match,
MOVIMIENTO LINEA POPULAR,MOVIMIENTO LINEA POPULAR,direct_match,
MOVIMIENTO NORTE GRANDE,MOVIMIENTO NORTE GRANDE,direct_match,
MOVIMIENTO PATRIOTICO DE LIBERACION,MOVIMIENTO PATRIOTICO DE LIBERACION,direct_match,
MOVIMIENTO POPULAR,MOVIMIENTO POPULAR,direct_match,
MOVIMIENTO POPULAR FUEGUINO,MOVIMIENTO POPULAR FUEGUINO,direct_match,
MOVIMIENTO POPULAR JUJEÑO,MOVIMIENTO POPULAR JUJEÑO,direct_match,
MOVIMIENTO POPULAR MALVINENSE,MOVIMIENTO POPULAR MALVINENSE,direct_match,
MOVIMIENTO POPULAR NEUQUINO,MOVIMIENTO POPULAR NEUQUINO,direct_match,
MOVIMIENTO POPULAR UNIDO,MOVIMIENTO POPULAR UNIDO,direct_match,
MOVIMIENTO POR LA DIGNIDAD Y LA INDEPENDENCIA,MOVIMIENTO POR LA DIGNIDAD Y LA INDEPENDENCIA,direct_match,
MOVIMIENTO REGIONAL DEL PUEBLO,MOVIMIENTO REGIONAL DEL PUEBLO,direct_match,
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,direct_match,
MOVIMIENTO TERCERA POSICION,MOVIMIENTO TERCERA POSICION,direct_match,
MOVIMIENTO UNIDAD RENOVADORA,MOVIMIENTO UNIDAD RENOVADORA,direct_match,
MOVIMIENTO VIABLE,MOVIMIENTO VIABLE,direct_match,
MST-NUEVA IZQUIERDA,MST-NUEVA IZQUIERDA,direct_match,
NOS UNE RIO NEGRO,NOS UNE RÍO NEGRO,batch_lookup,True
NUESTRA RIOJA,NUESTRA RIOJA,direct_match,
NUESTRO COMPROMISO,NUESTRO COMPROMISO,direct_match,
NUEVA ALIANZA,NUEVA ALIANZA,direct_match,
NUEVA OPCION,ALIANZA NUEVA OPCION,batch_lookup,True
NUEVA PROPUESTA,NUEVA PROPUESTA,direct_match,
NUEVA SANTA CRUZ,NUEVA SANTA CRUZ,direct_match,
NUEVO,NUEVO,direct_match,
NUEVO COMPROMISO NEUQUINO,NUEVO COMPROMISO NEUQUINO,direct_match,
NUEVO ENCUENTRO,NUEVO ENCUENTRO,direct_match,
NUEVO ESPACIO CIUDADANO,NUEVO ESPACIO CIUDADANO,direct_match,
NUEVO ESPACIO ENTRERRIANO,ALIANZA NUEVO ESPACIO ENTRERRIANO,batch_lookup,True
NUEVO NEUQUEN,NUEVO NEUQUÉN,batch_lookup,True
NUEVO SANAGASTA,NUEVO SANAGASTA,direct_match,
OBRERO,OBRERO,direct_match,
OPCION FEDERAL,OPCION FEDERAL,direct_match,
OPCION PROVINCIAL LIBERAL,ALIANZA OPCION PROVINCIAL LIBERAL,batch_lookup,True
OTRA RIOJA ES POSIBLE,OTRA RIOJA ES POSIBLE,direct_match,
PACTO AUTONOMISTA LIBERAL - DEMOCRATA PROGRESISTA,PACTO AUTONOMISTA LIBERAL - DEMOCRATA PROGRESISTA,direct_match,
PACTO AUTONOMISTA LIBERAL - DEMOCRATA PROGRESISTA - DEMOCRATA CRISTIANO,PACTO AUTONOMISTA LIBERAL - DEMOCRATA PROGRESISTA - DEMOCRATA CRISTIANO,direct_match,
PACTO AUTONOMISTA LIBERAL - DEMOCRATA PROGRESISTA - MOVIMIENTO LIBERACION POPULAR,PACTO AUTONOMISTA LIBERAL - DEMOCRATA PROGRESISTA - MOVIMIENTO LIBERACION POPULAR,direct_match,
PACTO AUTONOMISTA LIBERAL - DEMOCRATA PROGRESISTA - UNION DE CENTRO DEMOCRATICO,PACTO AUTONOMISTA LIBERAL - DEMOCRATA PROGRESISTA - DEMOCRATA CRISTIANO,batch_lookup,True
PACTO AUTONOMISTA LIBERAL - FEDERAL - DEMOCRATA PROGRESISTA,PACTO AUTONOMISTA LIBERAL - FEDERAL - DEMOCRATA PROGRESISTA,direct_match,
PARA LA CONCERTACION CIUDADANA,PARA LA CONCERTACIÓN CIUDADANA,batch_lookup,True
PARTIDO DEL OBRERO,PARTIDO DEL OBRERO,direct_match,
PARTIDO FE,PARTIDO FE,direct_match,
PARTIDO JUSTICIALISTA,PARTIDO JUSTICIALISTA,direct_match,
POLO SOCIAL INTRANSIGENTE,ALIANZA POLO SOCIAL INTRANSIGENTE,batch_lookup,True
POPULAR,POPULAR,direct_match,
POPULAR DE CENTRO,ALIANZA POPULAR DE CENTRO,batch_lookup,True
POR LA LIBERTAD INDEPENDIENTE CHUBUTENSE,ALIANZA POR LA LIBERTAD INDEPENDIENTE CHUBUTENSE,batch_lookup,True
POR MENDOZA,JUNTOS POR MENDOZA,batch_lookup,True
POR SAN JUAN,ALIANZA POR SAN JUAN,batch_lookup,True
POR SANTA CRUZ,POR SANTA CRUZ,direct_match,
POR UNA ESPERANZA CHAMICALENSE,POR UNA ESPERANZA CHAMICALENSE,direct_match,
PRIMERO JUJUY,PRIMERO JUJUY,direct_match,
PRIMERO RIO NEGRO,PRIMERO RÍO NEGRO,batch_lookup,True
PRO - PROPUESTA REPUBLICANA,PRO - PROPUESTA REPUBLICANA,direct_match,
PRO PROPUESTA REPUBLICANA,PRO PROPUESTA REPUBLICANA,direct_match,
PROPUESTA FRENTE PAMPEANO CIVICO Y SOCIAL,PROPUESTA FRENTE PAMPEANO CIVICO Y SOCIAL,direct_match,
PROPUESTA REPUBLICANA,PROPUESTA REPUBLICANA,direct_match,
PROPUESTA REPUBLICANA - PRO,PROPUESTA REPUBLICANA - PRO,direct_match,
PROVINCIAL RIONEGRINO,PROVINCIAL RIONEGRINO,direct_match,
PROYECCION VECINALISTA DE CHUBUT,PROYECCION VECINALISTA DE CHUBUT,direct_match,
PROYECTO AGRARIO Y SOCIAL PAYS E,PROYECTO AGRARIO Y SOCIAL PAYS E,direct_match,
PROYECTO SUR,PROYECTO SUR,direct_match,
PUEBLO NUEVO,PUEBLO NUEVO,direct_match,
PUEBLO UNIDO,PUEBLO UNIDO,direct_match,
RECREAR CORDOBA EN ACCION,ALIANZA RECREAR CORDOBA EN ACCION,batch_lookup,True
RECREAR PARA EL CRECIMIENTO,RECREAR PARA EL CRECIMIENTO,direct_match,
REFORMADOR ESPERANZA PARA TODOS,REFORMADOR ESPERANZA PARA TODOS,direct_match,
RENOVADOR DE SALTA,RENOVADOR DE SALTA,direct_match,
REPUBLICANOS UNIDOS,REPUBLICANOS UNIDOS,direct_match,
SALTA NOS UNE,SALTA NOS UNE,direct_match,
SALTA PARA TODOS,SALTA PARA TODOS,direct_match,
SALTA SOMOS TODOS,SALTA SOMOS TODOS,direct_match,
SALTEÑA,ALIANZA SALTEÑA,batch_lookup,True
SAN JUAN POR TODOS,SAN JUAN POR TODOS,direct_match,
SAN LUIS UNIDO,SAN LUIS UNIDO,direct_match,
SANTAFESINA,ALIANZA SANTAFESINA,batch_lookup,True
SER FUEGUINO,SER FUEGUINO,direct_match,
SERVICIO Y COMUNIDAD,SERVICIO Y COMUNIDAD,direct_match,
SI - SALTA INDEPENDIENTE,SÍ - SALTA INDEPENDIENTE,batch_lookup,True
SIEMPRE,SIEMPRE,direct_match,
SIEMPRE JUNTO A LA GENTE,SIEMPRE JUNTO A LA GENTE,direct_match,
SOCIAL PATAGONICO,SOCIAL PATAGÓNICO,batch_lookup,True
SOCIALISTA,SOCIALISTA,direct_match,
SOCIALISTA POPULAR,SOCIALISTA POPULAR,direct_match,
SOMOS FUEGUINOS,SOMOS FUEGUINOS,direct_match,
TODOS POR ENTRE RIOS,ALIANZA TODOS POR ENTRE RIOS,batch_lookup,True
TODOS POR SALTA,TODOS POR SALTA,direct_match,
TODOS POR SAN JUAN,TODOS POR SAN JUAN,direct_match,
TOTAL FRENTE JUSTICIALISTA PARA LA VICTORIA,TOTAL FRENTE JUSTICIALISTA PARA LA VICTORIA,direct_match,
TRABAJO Y PRODUCCION,TRABAJO Y PRODUCCION,direct_match,
TRABAJO Y PROGRESO,TRABAJO Y PROGRESO,direct_match,
TRES BANDERAS,TRES BANDERAS,direct_match,
UCR - MID - MPC - ARI - RPC,UCR - MID - MPC - ARI - RPC,direct_match,
UN CAMBIO PARA SALTA,UN CAMBIO PARA SALTA,direct_match,
UNEN,ALIANZA UNEN,batch_lookup,True
UNIDAD BONAERENSE,UNIDAD BONAERENSE,direct_match,
UNIDAD CIUDADANA,ALIANZA UNIDAD CIUDADANA,batch_lookup,True
UNIDAD CIUDADANA FRENTE NEUQUINO,ALIANZA UNIDAD CIUDADANA FRENTE NEUQUINOA,batch_lookup,True
UNIDAD CORRENTINA,UNIDAD CORRENTINA,direct_match,
UNIDAD DE LOS NEUQUINOS PARA EL CAMBIO,ALIANZA UNIDAD DE LOS NEUQUINOS PARA EL CAMBIO,batch_lookup,True
UNIDAD FUEGUINA,UNIDAD FUEGUINA,direct_match,
UNIDAD PORTEÑA,ALIANZA UNIDAD PORTEÑA,batch_lookup,True
UNIDAD SOCIALISTA,UNIDAD SOCIALISTA,direct_match,
UNIDOS PARA CAMBIAR SANTA FE,UNIDOS PARA CAMBIAR SANTA FE,direct_match,
UNIDOS PARA LA VICTORIA,UNIDOS PARA LA VICTORIA,direct_match,
UNIDOS POR CATAMARCA,ALIANZA UNIDOS POR CATAMARCA,batch_lookup,True
UNIDOS POR LA LIBERTAD Y EL TRABAJO,ALIANZA UNIDOS POR LA LIBERTAD Y EL TRABAJO,batch_lookup,True
UNIDOS POR RIO NEGRO,UNIDOS POR RIO NEGRO,direct_match,
UNIDOS POR SALTA,UNIDOS POR SALTA,direct_match,
UNIDOS POR SAN JUAN,UNIDOS POR SAN JUAN,direct_match,
UNIDOS POR SAN LUIS,UNIDOS POR SAN LUIS,direct_match,
UNIDOS POR UNA NUEVA ALTERNATIVA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA,batch_lookup,True
UNIDOS Y ORGANIZADOS POR LA SOBERANIA POPULAR,UNIDOS Y ORGANIZADOS POR LA SOBERANÍA POPULAR,batch_lookup,True
UNION CELESTE Y BLANCO,UNIÓN CELESTE Y BLANCO,batch_lookup,True
UNION CIVICA RADICAL,UNION CIVICA RADICAL,direct_match,
UNION CIVICA RADICAL - CONVERGENCIA,UNION CIVICA RADICAL - CONVERGENCIA,direct_match,
UNION CIVICA RADICAL - DEL PUEBLO,ALIANZA UNION CIVICA RADICAL - ALIANZA DEL PUEBLO,batch_lookup,True
UNION CIVICA RADICAL - FRESOL,UNION CIVICA RADICAL - FRESOL,direct_match,
UNION CIVICA RADICAL - JUNTOS PARA GANAR,UNION CIVICA RADICAL - JUNTOS PARA GANAR,direct_match,
UNION CIVICA RADICAL - MOVIMIENTO DE INTEGRACION Y DESARROLLO,ALIANZA UNION CIVICA RADICAL - MOVIMIENTO DE INTEGRACION Y DESARROLLO,batch_lookup,True
UNION CIVICA RADICAL - MOVIMIENTO POPULAR,ALIANZA UNION CIVICA RADICAL - MOVIMIENTO POPULAR CATAMARQUEÑO,batch_lookup,True
UNION CIVICA RADICAL - MOVIMIENTO POPULAR CATAMARQUEÑO,ALIANZA UNION CIVICA RADICAL - MOVIMIENTO POPULAR CATAMARQUEÑO,batch_lookup,True
UNION CIVICA RADICAL - MOVIMIENTO POPULAR CATAMARQUEÑO - LA VOZ DEL PUEBLO,UNION CIVICA RADICAL - MOVIMIENTO POPULAR CATAMARQUEÑO - LA VOZ DEL PUEBLO,direct_match,
UNION CIVICA RADICAL - PARA LA PATAGONIA,ALIANZA UNION CIVICA RADICAL - PARA LA PATAGONIA,batch_lookup,True
UNION CIVICA RADICAL - PROYECCION VECINAL,UNIÓN CÍVICA RADICAL - PROYECCIÓN VECINAL,batch_lookup,True
UNION DE CENTRO DEMOCRATICO,UNION DE CENTRO DEMOCRATICO,direct_match,
UNION DE CENTRO DEMOCRATICO - DEMOCRATA PROGRESISTA - UNION CONSERVADORA - UNION CATOLICA DEMOCRATICA,UNION DE CENTRO DEMOCRATICO - DEMOCRATA PROGRESISTA - UNION CONSERVADORA - UNION CATOLICA DEMOCRATICA,direct_match,
UNION DE FUERZAS SOCIALES,ALIANZA UNION DE FUERZAS SOCIALES,batch_lookup,True
UNION DE LOS NEUQUINOS,UNIÓN DE LOS NEUQUINOS,batch_lookup,True
UNION PARA EL DESARROLLO SOCIAL,UNION POR LA RIOJA,batch_lookup,True
UNION PARA RECREAR BUENOS AIRES,ALIANZA UNION PARA RECREAR BUENOS AIRES,batch_lookup,True
UNION PARA VIVIR MEJOR,UNIÓN PARA VIVIR MEJOR,batch_lookup,True
UNION POPULAR,UNION POPULAR,direct_match,
UNION POR CHACO,ALIANZA UNION POR CHACO,batch_lookup,True
UNION POR CORDOBA,ALIANZA UNION POR CORDOBA,batch_lookup,True
UNION POR CORDOBA - FRENTE PARA LA VICTORIA,UNIÓN POR CÓRDOBA - FRENTE PARA LA VICTORIA,batch_lookup,True
UNION POR JUJUY,UNIDAD POR JUJUY,batch_lookup,True
UNION POR LA PATRIA,UNION POR LA PATRIA,direct_match,
UNION POR RIO NEGRO,UNIDOS POR RIO NEGRO,batch_lookup,True
UNION POR SALTA,UNION POR SALTA,direct_match,
UNION POR SAN LUIS,UNIÓN POR SAN LUIS,batch_lookup,True
UNION POR UN NUEVO CHACO,ALIANZA UNION POR UN NUEVO CHACO,batch_lookup,True
UNION PRO,UNIÓN PRO,batch_lookup,True
UNION PRO FEDERAL,UNION PRO FEDERAL,direct_match,
UNION PROA,UNIÓN PRO,batch_lookup,True
UNION PROVINCIAL,UNION PROVINCIAL,direct_match,
UNION VECINAL DE CORDOBA,UNION VECINAL DE CORDOBA,direct_match,
UNION VICTORIA POPULAR,UNION VICTORIA POPULAR,direct_match,
UNION Y LIBERTAD,UNION Y LIBERTAD,direct_match,
"UNION, PRODUCCION Y TRABAJO","UNIÓN, PRODUCCIÓN Y TRABAJO",batch_lookup,True
UNITE POR LA FAMILIA Y LA VIDA,UNITE POR LA FAMILIA Y LA VIDA (PCP - UNITE - PP),batch_lookup,True
UNITE POR LA LIBERTAD Y LA DIGNIDAD,UNITE POR LA LIBERTAD Y LA DIGNIDAD,direct_match,
VAMOS CHACO,ALIANZA VAMOS CHACO,batch_lookup,True
VAMOS CON TODOS,VAMOS CON TODOS,direct_match,
VAMOS JUNTOS,ALIANZA VAMOS JUNTOS,batch_lookup,True
VERDE,PARTIDO VERDE,batch_lookup,True
VICTORIA POPULAR,VICTORIA POPULAR,direct_match,
VIVA LA LIBERTAD,VIVA LA LIBERTAD,direct_match,
WAYAR GOBERNADOR,WAYAR GOBERNADOR,direct_match,
